lrk_id;type_oko;opc;actuele_naam_oko;aantal_kindplaatsen;ve;status;inschrijfdatum;opvanglocatie_adres;opvanglocatie_postcode;opvanglocatie_woonplaats;bag_id;naam_houder;kvk_nummer_houder;vestigingsnummer_houder;rechtsvorm_houder;start_geschillencommissie;einde_geschillencommissie;houder_adres;houder_postcode;houder_woonplaats;houder_buitenland;correspondentie_adres;correspondentie_postcode;correspondentie_woonplaats;correspondentie_buitenland;contact_persoon;contact_telefoon;contact_emailadres;contact_website;cbs_code;verantwoordelijke_gemeente;gastouderbureau_1;gastouderbureau_2;gastouderbureau_3;gastouderbureau_4;gastouderbureau_5;gastouderbureau_6;gastouderbureau_7;gastouderbureau_8;gastouderbureau_9;gastouderbureau_10;lrk_url
198405376;VGO;Nee;Zwart Verburg;6;;Ingeschreven;12-12-2022;Burgemeester Doormanstraat 27 ;3465KD;Driebruggen;0595010000000751;Zwart Verburg;;;;;;;;;;;;;;;'';;;1901;Bodegraven-Reeuwijk;125774060;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/348cc471-a1c4-475b-9bce-f4f8f70c0b3a
198422283;BSO;Nee;'t Clubhuis;30;;Ingeschreven;01-07-2009;Noorderbrug 2 ;1713GA;Obdam;1598010000029741;Stichting SCIO voor Opvang;41236397;000065974727;Stichting;2016-01-15;;van Dedemstraat 6B ;1624NN;Hoorn;;van Dedemstraat 6B ;1624NN;Hoorn;;Servicebureau;'0229-743743';info@stichtingscio.nl;https://www.stichtingscio.nl;1598;Koggenland;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/a40ef4dd-df01-484c-a477-f7cc860572e4
198427591;KDV;Nee;LeV locatie Het Meesterwerk;56;Ja;Ingeschreven;04-11-2024;Karel Fabritiusstraat 1 ;3904TG;Veenendaal;0345010004190509;LeV christelijke kinderopvang B.V.;52847837;000060942630;Onbekend;2016-01-01;;De Grote Pekken 11 ;3901JB;Veenendaal;;;;;;M. van de Lagemaat;'0318-745700';info@kinderopvanglev.nl;http://www.kinderopvanglev.nl;345;Veenendaal;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/1dc85490-18c6-4584-8728-4cb8bbc8bac7
198428297;BSO;Nee;BSO De Toekomst;40;;Ingeschreven;01-01-2010;Achlumerstraat 1a ;8913GL;Leeuwarden;0080010000379792;Stichting Kinderopvang Friesland;41002574;000036965669;Stichting;2016-03-10;;Postbus 134;8800AC;Franeker;;Postbus 134;8800AC;Franeker;;A. Fokkens;'+31 0623686952';info@kinderopvangfriesland.nl;http://www.kinderopvangfriesland.nl;80;Leeuwarden;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/a20508b6-b4aa-40a4-9c0d-b9d8a598e249
198458289;VGO;Nee;Clerck;6;;Ingeschreven;22-12-2021;Hasseltstraat 224 ;5046LR;Tilburg;0855010000028078;Clerck;;;;;;;;;;;;;;;'';;;855;Tilburg;190811766;561668085;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/124fbba4-702c-463e-bcc1-4e09e39adbc9
198462360;VGO;Nee;Mazereeuw;6;;Ingeschreven;31-08-2010;Mina Wigerink-Lezerstraat 9 ;6836RV;Arnhem;0202010000380590;Mazereeuw;;;;;;;;;;;;;;;'';;;202;Arnhem;859610913;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/00e8234a-4b7e-4bcc-9d60-2d90f21a572b
198470927;VGO;Nee;Keulen Gerads;6;;Ingeschreven;15-08-2022;Boekenderweg 19 ;6017CN;Thorn;1641010001111046;Keulen Gerads;;;;;;;;;;;;;;;'';;;1641;Maasgouw;146173685;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/854d10ec-d9a2-4733-aad6-b016fadc53b1
198479815;BSO;Nee;Ooievaarsnest;66;;Ingeschreven;10-05-2021;Kalbstraat 1 ;1689EB;Zwaag;0405010000575721;Stichting SCIO voor Opvang;41236397;000052022404;Stichting;2016-01-15;;van Dedemstraat 6B ;1624NN;Hoorn;;van Dedemstraat 6B ;1624NN;Hoorn;;Servicebureau;'0229 743 743';info@stichtingscio.nl;https://www.stichtingscio.nl;405;Hoorn;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/79fa51ce-84e0-4164-9975-bab38ba25fc5
198481640;KDV;Nee;PSG De Veldmuis;16;Ja;Ingeschreven;24-08-2015;Veldhofstraat 1 ;7213AJ;Gorssel;0262010000018346;Smallsteps B.V.;60901934;000040501167;Besloten Vennootschap;2016-01-27;;Postbus 396;4130EJ;Vianen;;Postbus 396;4130EJ;Vianen;;Regiosecretariaat;'088-2357550';regiosecretariaat@partou.nl;http://www.smallsteps.nl;262;Lochem;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/e9956123-30d3-4bf6-9bc6-ceffdd356306
198499590;KDV;Nee;KDV Stap foar Stap De Boerderij;32;Nee;Ingeschreven;01-03-2025;Jousterweg 39 ;8506BG;Haskerhorne;0051010001249181;Stap foar Stap Joure B.V.;90685288;000061895792;Besloten Vennootschap;2018-10-01;;Midstraat 10 ;8501AP;Joure;;Jousterweg 39 ;8506BG;Haskerhorne;;Elizabeth Amsterdam;'0647701815';info@thuishuisstapfoarstap.nl;http://www.thuishuisstapfoarstap.nl;1940;De Fryske Marren;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/2a80f050-708f-46b6-9ffc-12b1ed755ffe
198506740;BSO;Nee;Sport-BSO Flekss - Kristal;40;;Ingeschreven;06-05-2026;Kristallaan 25b ;4761ZC;Zevenbergen;1709010000171458;Sport-BSO Flekss B.V.;78066050;;Besloten Vennootschap;2020-06-18;;Neerloopweg 36 ;4814RS;Breda;;;;;;Bowien Snepvangers;'0642548044';info@flekss.nl;https://www.flekss.nl;1709;Moerdijk;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/0acd5ac5-74b4-4c44-af83-c1d978c1496a
198535843;VGO;Nee;Teeuwen;6;;Ingeschreven;11-12-2012;Baneheide 28 ;6353AL;Baneheide;0965010000812296;Teeuwen;;;;;;;;;;;;;;;'';;;965;Simpelveld;218034490;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/2c4678fc-4ec9-4b3b-95a7-60061f842fad
198544947;KDV;Nee;Voorschool De Kraai;16;Ja;Ingeschreven;30-07-2012;Kraijenhoffstraat 32 ;1018RL;Amsterdam;0363010012127549;Stichting Dynamo Voorscholen;34359395;000020867026;Stichting;2016-05-27;;Postbus 93500;1090EA;Amsterdam;;;;;;Dynamo;'020 4609300';peuters@dynamo-amsterdam.nl;http://dynamopeuters.nl;363;Amsterdam;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/d8d0f65a-d424-481c-8d53-06b2fdec6eaf
198556688;VGO;Nee;Trigt;6;;Ingeschreven;01-09-2025;Opvang bij de vraagouder;;;;Trigt;;;;;;;;;;;;;;;'';;;297;Zaltbommel;217063408;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/a06f80fd-4b84-4f74-ae35-4f36d8a18be3
198576250;KDV;Nee;CompaNanny WFC B.V.;115;Nee;Ingeschreven;01-01-2005;Koningin Wilhelminaplein 13 ;1062HH;Amsterdam;0363010000709209;CompaNanny WFC B.V.;34214158;000018615678;BV;2016-01-18;;Koningin Wilhelminaplein 13 ;1062HH;Amsterdam;;Koningin Wilhelminaplein 13 ;1062HH;Amsterdam;;Planning en Plaatsing CompaNanny;'+31 0204170117';wfc@compananny.nl;https://www.compananny.com/;363;Amsterdam;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/34cb73db-5173-4094-99b4-6e3ccc43ff98
198603794;BSO;Nee;De Boekenkast;20;;Ingeschreven;27-02-2017;Dreef 1 ;7414EA;Deventer;0150010000042186;R.C. Kids B.V.;96867620;000008141744;Besloten Vennootschap;2015-11-24;;Joost van den Vondellaan 49 ;7412MN;Deventer;;Joost van den Vondellaan 49 ;7412MN;Deventer;;H.B. de Bruijn-Gunst;'06-40480815';info@rckids.nl;http://www.rckids.nl;150;Deventer;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/ea01e488-7e45-421b-85ef-6c9edd528d62
198619443;VGO;Nee;C. Veldman Beunk;6;;Ingeschreven;01-05-2025;Dennenbosweg 213 ;7556CG;Hengelo;0164010000023050;Veldman Beunk;;;;;;;;;;;;;;;'';;;164;Hengelo (O);149157496;464044911;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/ee05d9be-45d9-4c8c-b214-ba98596bc5ac
198639119;BSO;Nee;Casca BSO Molenwerf;63;;Ingeschreven;01-01-2010;Molenwerfslaan 9 ;2103TC;Heemstede;0397010000003877;Casca Kinderopvang B.V.;52887952;000038631962;BV;2015-12-23;;Herenweg 96 ;2101MP;Heemstede;;Molenwerfslaan 9 ;2103TC;Heemstede;;Vera Olah;'023-5483846';volah@casca.nl;;397;Heemstede;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/04837e64-1de1-4908-8b37-73e21465d37d
198661277;BSO;Nee;BSO De Boomhut;14;;Ingeschreven;01-01-2010;Burgemeester van Besouwlaan 2 ;5171JS;Kaatsheuvel;0809010000001517;Kinderopvang Midden Brabant B.V.;73376418;;Besloten Vennootschap;2019-01-01;;Postbus 250;5170AG;Kaatsheuvel;;Burgemeester van Besouwlaan 2 ;5171JS;Kaatsheuvel;;;'';;;809;Loon op Zand;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/7bf70e9f-affc-4bf7-b559-c780861ea37f
198663602;KDV;Nee;Up Kinderopvang;48;Nee;Ingeschreven;01-01-2005;P. van Vlietlaan 8 ;2285XM;Rijswijk;0603010000017866;Kinderopvang Morgen;41156673;000033143587;Stichting;2016-02-09;;Martin Campslaan 3 ;2286SB;Rijswijk;;;;;;;'070-7920220';info@upkinderopvang.nl;http://www.upkinderopvang.nl;603;Rijswijk;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/d89cd8dc-8e02-4d27-9ffd-ccbd7634256a
198664874;VGO;Nee;Van den Brink;6;;Ingeschreven;06-10-2014;Veesser Enkweg 34 ;8194LM;Veessen;0246010000007048;Van den Brink;;;;;;;;;;;;;;;'';;;246;Heerde;210176155;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/4d39b4cb-e238-4434-a615-42712b7c2b58
198670199;KDV;Nee;Polderhof 1;48;Nee;Ingeschreven;01-01-2015;Kersenlaan 3 ;5345JK;Oss;0828010001592680;AVEM Kinderopvang B.V.;64789047;;Besloten Vennootschap;2018-01-11;;Rossinistraat 9 ;5344AK;Oss;;;;;;N. Jeuken;'0412 405030';info@avem-kinderopvang.nl;http://www.avem-kinderopvang.nl;828;Oss;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/888cff1c-7d17-412f-9552-73c4ae1ca60d
198674909;KDV;Nee;De Spelende Kinderopvang - KDV Korvelplein;56;Ja;Ingeschreven;01-03-2011;Diepenstraat 97 ;5025MR;Tilburg;0855010000037056;De Spelende Kinderopvang Tilburg Midden B.V.;51140896;000034558497;Besloten Vennootschap;2015-12-22;;Meerssenstraat 1c ;5045JB;Tilburg;;Diepenstraat 97 ;5025MR;Tilburg;;Johan van Gompel;'013-4633333';info@despelendekinderopvang.nl;http://www.despelendekinderopvang.nl;855;Tilburg;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/dafd26f2-e3a8-453e-bc9a-ad0367b554bf
198679087;KDV;Nee;De Kleine Wereld Nieuwendammerdijk;27;Nee;Ingeschreven;01-01-2010;Nieuwendammerdijk 465 ;1023BN;Amsterdam;0363010000751918;De Kleine Wereld Nieuwendammerdijk B.V.;65703235;000002200775;Besloten Vennootschap;2016-07-13;;Johannes Vermeerstraat 63 ;1071DN;Amsterdam;;Postbus 2728;3500GS;Utrecht;;De Kleine Wereld;'088-2523661';kwaliteit@dekleinewereld.nl;http://www.dekleinewereld.nl;363;Amsterdam;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/97e3a5fc-1300-4350-a89d-e94666d1c2d2
198692031;VGO;Nee;Dijkhuizen Spiljard;6;;Ingeschreven;08-08-2025;Opvang bij de vraagouder;;;;Dijkhuizen Spiljard;;;;;;;;;;;;;;;'';;;1926;Pijnacker-Nootdorp;160012351;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/0e672335-86d3-4352-874a-df1e54e5d480
198697132;BSO;Nee;Trema Kinderopvang Hank Lipsplantsoen;50;;Ingeschreven;01-01-2010;Pastoor Lipsplantsoen 8 ;4273XX;Hank;0870010000003063;Stichting Trema Kinderopvang;18090780;000040817970;Stichting;2015-12-09;;Singel 16d ;4255HD;Nieuwendijk;;Singel 16d ;4255HD;Nieuwendijk;;Mevrouw N.(Natasja) Feijen;'0183-733200';info@tremakids.nl;http://www.tremakids.nl;1959;Altena;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/46b7f5a6-f7ec-45d8-a684-da54485df781
198700295;VGO;Nee;Wind-Rook;6;;Ingeschreven;19-08-2010;Heetveld 5 ;8326BG;Sint Jansklooster;1708010000013719;Wind-Rook;;;;;;;;;;;;;;;'';;;1708;Steenwijkerland;839423111;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/296c8f6c-dc37-4565-9afb-c063bca30369
198712339;BSO;Nee;UniKidz Aker;72;;Ingeschreven;01-08-2021;Cycladenlaan 2 ;1060LW;Amsterdam;0363010011211589;Unikidz Amsterdam B.V.;68155042;000049716239;Besloten Vennootschap;2017-03-09;;Eva Besnyöstraat 11 ;1087KR;Amsterdam;;;;;;C. Géron;'0855807000';informatie@unikidz.nl;http://www.unikidz.nl;363;Amsterdam;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/41822740-caa5-4c5d-b6ec-477536a0cd2d
198715031;VGO;Nee;Yakhlifi;6;;Ingeschreven;01-09-2026;Teherandreef 6 ;3564XB;Utrecht;0344010000027225;Yakhlifi;;;;;;;;;;;;;;;'';;;344;Utrecht;850789606;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/5d06e857-1160-4197-b5f4-b70ddcf1b93a
198749879;VGO;Nee;Duijzer de Weerd;6;;Ingeschreven;15-10-2015;Golfslag 3 ;1791HC;Den Burg;0448010000002560;Duijzer de Weerd;;;;;;;;;;;;;;;'';;;448;Texel;926759462;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/0c30e7a0-05f0-45e1-9908-fd36ff9142ce
198765496;BSO;Nee;BSO Mirakel Vinkeveen BV;22;;Ingeschreven;12-07-2021;Pijlstaartlaan 1 ;3645GR;Vinkeveen;0736010000105437;BSO Mirakel Vinkeveen B.V.;82749981;000048965480;Besloten Vennootschap;2015-11-17;;Parlevinker 21 ;1186ZA;Amstelveen;;Aalsmeerderweg 351 ;1432EA;Aalsmeer;;S. Terweij;'0206613035';s.terweij@kdvmirakel.nl;http://www.kinderopvangmirakel.nl;736;De Ronde Venen;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/165a2f07-823a-4e6c-bc01-13dda7bfb895
198773523;KDV;Nee;Leuk! Kinderopvang;66;Nee;Ingeschreven;08-04-2024;Gageldijk 4 ;3602AL;Maarssen;0333010000016970;Leuk! Kinderopvang B.V.;91980577;000057630798;Besloten Vennootschap;2023-11-20;;Koperslagerlaan 40 ;3401GN;IJsselstein;;;;;;N. Bouwhuis-Wilbrink;'06 239 932 34';info@leukkinderopvang.nl;http://www.leukkinderopvang.nl;1904;Stichtse Vecht;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/a6368ae4-5a6c-4a00-a7b0-fbbd633c44b8
198774473;VGO;Nee;Meulenbrugge - Dimmendaal;6;;Ingeschreven;29-10-2010;Sarinkdijk 23 ;7255MS;Hengelo (Gld);1876010001015384;Meulenbrugge - Dimmendaal;;;;;;;;;;;;;;;'';;;1876;Bronckhorst;114912348;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/1a778a8d-4c36-4c70-a07a-e086b98cb36f
198782597;BSO;Nee;Partou BSO De Verbeelding 27;16;;Ingeschreven;21-08-2023;De Verbeelding 27 ;3892HZ;Zeewolde;0050010000360582;Partou B.V.;30225440;000056959001;Besloten Vennootschap;2015-12-29;;Postbus 396;4130EJ;Vianen;;;;;;Regiosecretariaat;'0882357550';info@partou.nl;http://www.partou.nl;50;Zeewolde;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/85b16dc2-a557-4483-963f-ae2cc7b0a439
198807892;VGO;Nee;van den Berg-van den Brink;6;;Ingeschreven;06-09-2011;Schansweg 1A ;6741NC;Lunteren;0228010000044852;van den Berg-van den Brink;;;;;;;;;;;;;;;'';;;228;Ede;162801580;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/136d7eeb-3350-4344-aa3a-b3dd9af252af
198811731;BSO;Nee;Kindcentrum Meerwijk;60;;Ingeschreven;01-01-2010;Eendracht 5 ;1423DZ;Uithoorn;0451010000015949;Stichting Kinderopvang Solidoe;34198255;000022462384;Stichting;2016-02-15;;Zwarteweg 103 ;1431VK;Aalsmeer;;Postbus 286;1430AG;Aalsmeer;;Nanda Portenge;'0297 562757';nandaportenge@solidoe.nl;http://www.solidoe.nl;451;Uithoorn;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/38cd0161-8402-4063-892f-a514d253922e
198818154;BSO;Nee;Partou BSO Acacialaan 18A;30;;Ingeschreven;25-03-2010;Acacialaan 18A ;1185RE;Amstelveen;0362010002205367;Partou B.V.;30225440;000024775983;Besloten Vennootschap;2015-12-29;;Postbus 396;4130EJ;Vianen;;;;;;Secretariaat;'088-2357550';info@partou.nl;;362;Amstelveen;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/2efe1e29-9644-467b-83f2-1a59335b8e06
198821906;VGO;Nee;Guiljam Geluk;6;;Ingeschreven;07-02-2024;Kloetingseweg 31 ;4462AV;Goes;0664010000001357;Guiljam Geluk;;;;;;;;;;;;;;;'';;;664;Goes;156668592;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/5d23af14-d4c4-4d73-b205-a9a194986a37
198832357;VGO;Nee;Navis-van Koot;4;;Ingeschreven;07-04-2022;Opvang bij de vraagouder;;;;Navis van Koot;;;;;;;;;;;;;;;'';;;197;Aalten;207294847;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/28bb83cd-e734-4e7f-b4c7-f299204eccfe
198836557;VGO;Nee;Tillema;6;;Ingeschreven;21-09-2010;Van Trojenweg 7 ;9751VK;Haren Gn;0017010000007365;Tillema;;;;;;;;;;;;;;;'';;;14;Groningen;214980261;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/a6e81a6e-505d-4c84-8a97-fd2c1e2cc1e6
198838517;KDV;Nee;Juut & CO Peuteropvang Nijntje;16;Ja;Ingeschreven;07-07-2015;Dorpsstraat 84 ;7025AG;Halle;1876010001006543;Stichting Peuteropvang Juut & Co;57064563;000032745672;Stichting;2016-01-04;;Nijverheidsweg 7 ;7071CH;Ulft;;Nijverheidsweg 7 ;7071CH;Ulft;;M. te Brake;'+31 0315231775';info@juutenco.nl;http://www.juutenco.nl;1876;Bronckhorst;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/a1c1b9c2-6520-4919-864d-9fca8a6cd5ee
198838645;BSO;Nee;Vuur;40;;Ingeschreven;29-05-2010;Apollolaan 234 ;2341AV;Oegstgeest;0579010000010307;Stichting Kinderopvang Oegstgeest;41167707;000022434828;Stichting;2016-01-20;;Geversstraat 40 ;2342AB;Oegstgeest;;;;;;Klantenservice SKO;'071-5159800';info@sko-oegstgeest.nl;http://www.sko-oegstgeest.nl;579;Oegstgeest;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/65607c57-a214-4463-a458-f3410d398bec
198841577;VGO;Nee;Kokx van Esch;4;;Ingeschreven;04-05-2026;Opvang bij de vraagouder;;;;Kokx van Esch;;;;;;;;;;;;;;;'';;;865;Vught;208914973;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/21829c39-02c6-4925-8b40-a5c24e713296
198845133;VGO;Nee;B. van der Veen;6;;Ingeschreven;03-06-2026;Boslaan 43 ;8253AG;Dronten;0303010000607526;Veen;;;;;;;;;;;;;;;'';;;303;Dronten;208466496;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/e32bb60d-6537-471d-9a57-3dd740657f48
198849308;GOB;Nee;Talys GOB;;;Ingeschreven;01-01-2010;Neptunussingel 79 ;1363VV;Almere;0034010000081838;Taly's Kindercentrum B.V.;58551921;000027886727;BeslotenVennootschap;2015-12-29;;Neptunussingel 79 ;1363VV;Almere;;Neptunussingel 79 ;1363VV;Almere;;E.A. Boer;'06-12449366';talysgastouderbureau@live.nl;http://www.talyskindercentrum.nl;34;Almere;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/c86d179f-8efa-4703-9eee-fc05cc7daf3b
198852575;BSO;Nee;Vandaag BSO De Greide;17;;Ingeschreven;25-08-2025;Fjildwei 6A ;9258CL;Jistrum;0737010001001358;Vandaag Kinderopvang B.V.;83456295;000049620290;Besloten Vennootschap;2021-10-01;;Prins Bernhardstraat 1A 101;9251GJ;Burgum;;;;;;Annette de Haan;'0512790011';info@kindvandaag.nl;;737;Tytsjerksteradiel;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/065ae37d-a28a-43cf-8a3f-6fe8fc75fddb
198852642;KDV;Nee;Basker - Laan van Wateringseveld;45;Ja;Ingeschreven;01-04-2012;Laan van Wateringse Veld 462 ;2548CK;'s-Gravenhage;0518010000587401;Basker kinderopvang B.V.;30278497;000047810327;Besloten Vennootschap;2016-01-01;;Postbus 50;3430AB;Nieuwegein;;;;;;Basker;'030 – 604 75 99';kwaliteit@babilou-family.nl;https://www.basker.nl;518;'s-Gravenhage;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/0d1e0b5d-5a5f-4079-9953-f96f137d962e
198854213;VGO;Nee;D. Broeren;6;;Ingeschreven;25-11-2025;Dovenetel 41 ;7322DN;Apeldoorn;0200010003934724;Broeren;;;;;;;;;;;;;;;'';;;200;Apeldoorn;295706442;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/b26d9b59-c880-47ef-9a70-2dc48a8d9cd5
198856738;VGO;Nee;Leetink;6;;Ingeschreven;24-05-2019;Opvang bij de vraagouder;;;;Leetink;;;;;;;;;;;;;;;'';;;150;Deventer;295706442;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/c9d4c6c3-465c-4be1-b834-bef41f36eb42
198868765;VGO;Nee;Pol van der;6;;Ingeschreven;01-04-2014;Maria van Osstraat 7 ;3343DS;Hendrik-Ido-Ambacht;0531010000001692;Pol van der;;;;;;;;;;;;;;;'';;;531;Hendrik-Ido-Ambacht;181692363;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/3ebf0a30-6d25-4157-bd4f-0683ce5362c1
198873517;VGO;Nee;Vliet, van;6;;Ingeschreven;15-02-2013;Koolwitje 33 ;3225CB;Hellevoetsluis;0530010002094830;Vliet;;;;;;;;;;;;;;;'';;;1992;Voorne aan Zee;225197686;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/4189f4cc-8755-457d-99a4-44bd35da761d
198876075;VGO;Nee;A. van Delft-Olthof;6;;Ingeschreven;19-10-2010;Gruttostraat 3 ;1531WN;Wormer;0880010000002876;Olthof;;;;;;;;;;;;;;;'06-22650091';gastoudervandelft@gmail.com;http://www.gastoudervandelft.nl;880;Wormerland;305142562;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/1071d3c0-b2dd-44af-ac46-189e26538448
198897960;BSO;Nee;Sportstuif Hilvarenbeek;34;;Ingeschreven;01-06-2025;Roodloop 1 ;5081XZ;Hilvarenbeek;0798010000004991;Sportstuif Kinderopvang B.V.;69240426;;Besloten Vennootschap;2015-05-12;;Ommelseweg 56 ;5721WV;Asten;;;;;;Erwin van de Donk;'0886332020';info@sportstuif.nl;http://www.sportstuif.nl;798;Hilvarenbeek;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/a4ddda00-4ac5-47e8-abeb-215a64ea2a57
198898460;VGO;Nee;de Vries;6;;Ingeschreven;16-12-2010;It Apelhôf 19 ;9074BH;Hallum;1722010000002010;de Vries;;;;;;;;;;;;;;;'';;;1970;Noardeast-Fryslân;800882192;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/2cffb272-682c-43f8-8c47-5e3e5f825e59
198900922;BSO;Nee;Warskippers;22;;Ingeschreven;01-11-2020;Pieter Koppesstraat 14 ;1641LS;Spierdijk;1598010000004501;Stichting SCIO voor Opvang;41236397;000041208889;Stichting;2016-01-15;;van Dedemstraat 6B ;1624NN;Hoorn;;;;;;Servicebureau;'0229 743 743';info@stichtingscio.nl;https://www.stichtingscio.nl;1598;Koggenland;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/6220b4d1-95a0-4f53-ac88-343c2c9f6421
198901847;VGO;Nee;Tekofsky;6;;Ingeschreven;31-07-2018;Fioringras 15 ;8043KA;Zwolle;0193010000057838;Tekofsky;;;;;;;;;;;;;;;'';;;193;Zwolle;146575891;918762352;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/83416504-fb33-49d8-bcc9-463ba2a3b113
198910216;BSO;Nee;BSO de Beukelseberg - Scouting Frankendael;40;;Ingeschreven;01-01-2010;Kamerlingh Onneslaan 9 ;1097DE;Amsterdam;0363010001036207;Stichting Kindercentrum Watergraafsmeer Amsterdam;41205151;000020836198;Stichting;2018-02-01;;Willem Beukelsstraat 151 ;1097CR;Amsterdam;;Willem Beukelsstraat 151 bel;1097CR;Amsterdam;;M. Siebum;'020 5926632';directie@kcwa.nl;http://www.kcwa.nl;363;Amsterdam;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/c22a2c72-ed11-4890-9e0c-671ca91a680c
